,_c0,DATE,Themes,Organizations,V2Tone
941,941,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HORSE;TAX_FNCACT;TAX_FNCACT_CEO;PUBLIC_TRANSPORT;TAX_FNCACT_TRAINER;TAX_WORLDFISH;TAX_WORLDFISH_TOP;,townsville turf club;mackay turf club,"3.04347826086956,4.34782608695652,1.30434782608696,5.65217391304348,29.5652173913043,0.869565217391304,222"
942,942,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_ARAB;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;ENV_OIL;ECON_OILPRICE;MEDIA_MSM;MEDICAL;EDUCATION;AFFECT;ECON_HOUSING_PRICES;ECON_DEBT;ECON_IPO;ECON_STOCKMARKET;,abu dhabi securities exchange;reuters,"0.898203592814371,2.09580838323353,1.19760479041916,3.2934131736527,25.4491017964072,1.49700598802395,315"
943,943,20150302000000.0,,twitter,"1.04408352668213,3.7122969837587,2.66821345707657,6.38051044083527,20.0696055684455,3.01624129930394,705"
944,944,20150302000000.0,,toronto raptors,"0.694444444444444,0.694444444444444,0,0.694444444444444,28.4722222222222,0,130"
945,945,20150302000000.0,GENERAL_GOVERNMENT;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;TAX_FNCACT_CITIZENS;,,"-1.69491525423729,3.38983050847458,5.08474576271187,8.47457627118644,23.728813559322,5.08474576271187,112"
946,946,20150302000000.0,GENERAL_GOVERNMENT;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRATS;TAX_ETHNICITY;TAX_ETHNICITY_KURDS;NEGOTIATIONS;CEASEFIRE;TAX_FNCACT;TAX_FNCACT_WORKER;TAX_POLITICAL_PARTY_WORKER_PARTY;TAX_POLITICAL_PARTY_DEMOCRATIC_UNION_PARTY;TAX_RELIGION;TAX_RELIGION_ISLAMIC;TAX_TERROR_GROUP;TAX_TERROR_GROUP_ISLAMIC_STATE;TAX_TERROR_GROUP_ISLAMIC_STATE_OF_IRAQ;TAX_TERROR_GROUP_ISIL;TAX_ETHNICITY_TURKISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_TURKISH;BORDER;,democratic union party;kurdistan worker party,"1.21580547112462,4.10334346504559,2.88753799392097,6.99088145896657,23.7082066869301,0,619"
947,947,20150302000000.0,ENV_NUCLEARPOWER;ENV_COAL;ENV_CLIMATECHANGE;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;GENERAL_GOVERNMENT;ALLIANCE;MANMADE_DISASTER;MANMADE_DISASTER_RADIOACTIVE;MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_ENGINEERS;MIL_WEAPONS_PROLIFERATION;WMD;TAX_ETHNICITY_SOVIET;TAX_WEAPONS;TAX_WEAPONS_BOMB;PROTEST;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITALS;,lynas corporation;united states,"0,3.06324110671937,3.06324110671937,6.12648221343874,24.0118577075099,0.395256916996047,952"
948,948,20150302000000.0,TAX_FNCACT;TAX_FNCACT_BABIES;TAX_FNCACT_BABY;TAX_FNCACT_CHILD;TAX_FNCACT_LADY;TAX_FNCACT_CAREGIVERS;TAX_FNCACT_COORDINATOR;TAX_FNCACT_WOMEN;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_DOCTORS;TAX_FNCACT_NURSES;TAX_FNCACT_WORKERS;TAX_FNCACT_SOCIAL_WORKERS;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITALS;GENERAL_GOVERNMENT;TAX_ETHNICITY;TAX_ETHNICITY_GREEKS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GREEKS;TAX_RELIGION;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY_CHRISTIAN;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_LEADER;APPOINTMENT;TAX_ETHNICITY_NEW_ZEALANDERS;TAX_FNCACT_DEPUTY;TAX_ETHNICITY_ENGLISH;TAX_WORLDLANGUAGES_ENGLISH;MEDIA_MSM;TAX_FNCACT_REPORTER;TAX_FNCACT_TRAINERS;ARMEDCONFLICT;TAX_RELIGION_ISLAMIC;TAX_TERROR_GROUP;TAX_TERROR_GROUP_ISLAMIC_STATE;,service agencies;pregnancy help national coordinator sharyn crawford;european union;flag consideration panel;nappy bank,"1.04250200481155,2.80673616680032,1.76423416198877,4.57097032878909,23.7369687249399,1.44346431435445,1147"
949,949,20150302000000.0,,team canada;american hockey league,"1.50862068965517,3.66379310344828,2.1551724137931,5.81896551724138,25.6465517241379,0.431034482758621,423"
950,950,20150302000000.0,MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_WOMEN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_BALTI;TAX_FNCACT_CHILDREN;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_BABY;TAX_FNCACT_CHILD;TAX_FNCACT_DESIGNER;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;URBAN;TAX_FNCACT_WARRIOR;TAX_FNCACT_WOMAN;TAX_WORLDLANGUAGES_MONGOLIAN;TAX_FNCACT_DIRECTOR;TAX_FNCACT_CREATIVE_DIRECTOR;TAX_WORLDFISH;TAX_WORLDFISH_TOPS;PUBLIC_TRANSPORT;TAX_WORLDFISH_SOLE;TAX_ETHNICITY_FRENCH;TAX_WORLDLANGUAGES_FRENCH;TAX_FNCACT_QUEEN;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LEOPARD;,associated press,"2.91568163908589,4.41292356185973,1.49724192277384,5.91016548463357,23.3254531126872,0.157604412923562,1117"
951,951,20150302000000.0,CRIME_ILLEGAL_DRUGS;DRUG_TRADE;ENV_OIL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_COYOTES;MEDIA_MSM;GENERAL_HEALTH;MEDICAL;TAX_FNCACT;TAX_FNCACT_NURSE;TAX_DISEASE;TAX_DISEASE_EBOLA;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;EDUCATION;SOC_POINTSOFINTEREST_COLLEGES;TERROR;KILL;AFFECT;REFUGEES;TAX_FNCACT_CRIMINAL;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST_SCHOOL;,,"-8.51063829787234,2.12765957446809,10.6382978723404,12.7659574468085,22.3404255319149,1.06382978723404,87"
952,952,20150302000000.0,TRIAL;TAX_FNCACT;TAX_FNCACT_LAWYERS;LEADER;TAX_FNCACT_PRESIDENT;KILL;LEGISLATION;GENERAL_GOVERNMENT;PERSECUTION;DISCRIMINATION;,high court,"-5.68862275449102,0.898203592814371,6.58682634730539,7.48502994011976,21.2574850299401,0,305"
953,953,20150302000000.0,,,"-1.71428571428571,1.14285714285714,2.85714285714286,4,24.8571428571429,1.14285714285714,641"
