,_c0,DATE,Themes,Organizations,V2Tone
213,213,20150302000000.0,EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;MEDIA_MSM;SOC_POINTSOFINTEREST_AIRPORT;TAX_FNCACT;TAX_FNCACT_MAN;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_POSTMAN;TAX_FNCACT_LADY;MEDICAL;GENERAL_HEALTH;TAX_FNCACT_DOCTOR;SOC_POINTSOFINTEREST_AIRPORTS;,,"-2.12514757969303,2.95159386068477,5.0767414403778,8.02833530106257,27.6269185360094,2.95159386068477,772"
214,214,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_WELSH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_WELSH;TAX_FNCACT;TAX_FNCACT_SINGER;TAX_FNCACT_INSIDERS;TAX_WORLDLANGUAGES_AMONG;TAX_WORLDFISH;TAX_WORLDFISH_TOP;TAX_FNCACT_KING;TAX_FNCACT_BUTLER;TAX_FNCACT_GENTLEMEN;TAX_ETHNICITY_ENGLISH;TAX_WORLDLANGUAGES_ENGLISH;,office bar;office bar restaurant;british museum;its renaissance hotels;pancras renaissance london hotel,"6.20031796502385,6.67726550079491,0.476947535771065,7.15421303656598,21.1446740858506,0.158982511923688,574"
215,215,20150302000000.0,TAX_WORLDFISH;TAX_WORLDFISH_POLLOCK;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT;TAX_FNCACT_GUIDE;TAX_FNCACT_TOUR_GUIDE;MANMADE_DISASTER_IMPLIED;,southwestern ontario angel group;university previous;netflix;richard ivey school of business;fanshawe college;twitter network;university research park on collip circle;london cross cultural learner centre,"1.72131147540984,3.0327868852459,1.31147540983607,4.34426229508197,23.6065573770492,1.72131147540984,1086"
216,216,20150302000000.0,TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KENYA;UNEMPLOYMENT;POVERTY;TAX_ETHNICITY;TAX_ETHNICITY_KENYANS;TAX_ETHNICITY_ASIAN;TAX_ETHNICITY_ARAB;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_EURO;ECON_CENTRALBANK;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;,european central bank;united states,"-2.15827338129496,0.359712230215827,2.51798561151079,2.87769784172662,15.1079136690647,0,241"
217,217,20150302000000.0,ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_RUBLE;MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_DRIVERS;TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIAN;TOURISM;TAX_FNCACT_TOURIST;TAX_FNCACT_CONSUL;TAX_ETHNICITY_RUSSIANS;TAX_WORLDLANGUAGES_RUSSIANS;TAX_FNCACT_TOURISTS;DELAY;TAX_ETHNICITY_ENGLISH;TAX_WORLDLANGUAGES_ENGLISH;TAX_FNCACT_INTERPRETERS;ARREST;TRIAL;PUBLIC_TRANSPORT;SECURITY_SERVICES;TAX_FNCACT_POLICE;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_POLICE_STATION;GENERAL_HEALTH;MEDICAL;MEDIA_SOCIAL;GENERAL_GOVERNMENT;TAX_FNCACT_MINISTER;TAX_WORLDLANGUAGES_RUSSIA;,russian information centre;facebook,"-4.55407969639469,0.759013282732448,5.31309297912714,6.07210626185958,25.426944971537,1.32827324478178,486"
218,218,20150302000000.0,ENV_NATURALGAS;FUELPRICES;ECON_NATGASPRICE;ECON_ELECTRICALGENERATION;ENV_OIL;ECON_ELECTRICALGRID;TAX_FNCACT;TAX_FNCACT_OPERATOR;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_SPOKESWOMAN;ECON_STOCKMARKET;TAX_FNCACT_SPOKESMAN;,energy inc;reuters,"-2.58620689655172,1.93965517241379,4.52586206896552,6.46551724137931,27.1551724137931,0.431034482758621,423"
219,219,20150302000000.0,TAX_FNCACT;TAX_FNCACT_WOMEN;MEDIA_SOCIAL;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;GENERAL_HEALTH;MEDICAL;,facebook,"0.297619047619047,4.76190476190476,4.46428571428571,9.22619047619048,27.3809523809524,0.892857142857143,319"
220,220,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;TAX_FNCACT_VICE_PRESIDENT;TAX_FNCACT_OFFICIAL;SOC_QUARANTINE;TAX_FNCACT_BODYGUARD;TAX_DISEASE;TAX_DISEASE_EBOLA;KILL;TAX_FNCACT_AUTHORITIES;GENERAL_HEALTH;HEALTH_PANDEMIC;TAX_DISEASE_OUTBREAK;MEDIA_MSM;GENERAL_GOVERNMENT;MEDICAL;TAX_FNCACT_MINISTER;TAX_FNCACT_OFFICIALS;ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_WORLD_HEALTH_ORGANISATION;MARITIME_INCIDENT;MARITIME;MANMADE_DISASTER_IMPLIED;MARITIME_PIRACY;,reuters;world health organisation,"-6.26349892008639,1.29589632829374,7.55939524838013,8.85529157667387,18.7904967602592,0,432"
221,221,20150302000000.0,TAX_FNCACT;TAX_FNCACT_PEER;ECON_STOCKMARKET;ECON_DEBT;NEGOTIATIONS;TAX_FNCACT_ADVISERS;,blackstone group;freescale semiconductor ltd;permira advisers;reuters;carlyle group,"-0.516795865633075,0.516795865633075,1.03359173126615,1.55038759689922,22.9974160206718,0,345"
222,222,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_COLLEGE;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;ELECTION;MEDIA_MSM;TAX_FNCACT_STUDENTS;TAX_FNCACT_LEADERS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DAKOTA;,benedict college;associated press,"0.921658986175115,1.38248847926267,0.460829493087558,1.84331797235023,15.2073732718894,0,200"
223,223,20150302000000.0,TAX_FNCACT;TAX_FNCACT_DETECTIVES;TAX_FNCACT_WOMAN;KILL;TAX_FNCACT_SHERIFF;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_YOSEMITE;ARREST;SOC_GENERALCRIME;,stanislaus county sheriff department,"-5.12820512820513,0,5.12820512820513,5.12820512820513,28.2051282051282,0,109"
224,224,20150302000000.0,TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_BARU;RELIGION;TAX_FNCACT;TAX_FNCACT_AUTHORITIES;TAX_RELIGION;TAX_RELIGION_MUSLIM;TAX_ETHNICITY;TAX_ETHNICITY_MUSLIM;TAX_FNCACT_WOMEN;TAX_WORLDLANGUAGES_AMONG;TAX_RELIGION_ISLAMIC;TAX_FNCACT_CHAIRMAN;TAX_RELIGION_MUSLIMS;TAX_ETHNICITY_MUSLIMS;MEDIA_SOCIAL;MANMADE_DISASTER_IMPLIED;TAX_ETHNICITY_MALAY;TAX_WORLDLANGUAGES_MALAY;,malay heritage council maidam,"-5.859375,0.390625,6.25,6.640625,23.4375,0.390625,246"
225,225,20150302000000.0,ARMEDCONFLICT;GENERAL_GOVERNMENT;TAX_FNCACT;TAX_FNCACT_PRINCESS;TAX_FNCACT_MANAGER;TAX_FNCACT_HORTICULTURIST;TAX_FNCACT_VOLUNTEERS;MEDIA_SOCIAL;TAX_WORLDINSECTS;TAX_WORLDINSECTS_BEES;TAX_FNCACT_FLORIST;TAX_ETHNICITY;TAX_ETHNICITY_SWEDE;TAX_FNCACT_GARDENER;TAX_ETHNICITY_WHITE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_ETHNICITY_DUTCH;TAX_WORLDLANGUAGES_DUTCH;SMUGGLING;TRIAL;TAX_FNCACT_STUDENTS;SCIENCE;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT_CHILDREN;,millennium seed bank;cultural organisation;facebook,"2.34260614934114,3.87994143484627,1.53733528550512,5.41727672035139,16.398243045388,0.219619326500732,1273"
226,226,20150302000000.0,ARMEDCONFLICT;TAX_DISEASE;TAX_DISEASE_CANCER;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FNCACT;TAX_FNCACT_MASONS;TAX_FNCACT_PRIEST;TAX_FNCACT_HIGH_PRIEST;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_COMMANDER;TAX_FNCACT_COMMANDER;TAX_FNCACT_KNIGHT;SOC_POINTSOFINTEREST_COLLEGE;TAX_AIDGROUPS;TAX_FNCACT_CRUSADER;TAX_FNCACT_VETERANS;TAX_RELIGION;TAX_RELIGION_METHODIST;TAX_RELIGION_CHURCH;TAX_FNCACT_WALKER;AFFECT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_RATS;MEDICAL;,herman e freeman york rite college;blackshear high school class;still lake fishing club;pierce county historical society;huxford genealogical society;blackshear high school;ward memorial united methodist church,"0.415800415800416,2.49480249480249,2.07900207900208,4.57380457380457,19.7505197505198,0,425"
227,227,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_SHEEP;GENERAL_GOVERNMENT;TAX_FNCACT;TAX_FNCACT_OFFICIAL;LEGISLATION;POLITICAL_TURMOIL;STATE_OF_EMERGENCY;TAX_FNCACT_BABY;MEDIA_MSM;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_TROOPS;CLOSURE;TAX_FNCACT_CORRESPONDENTS;TAX_FNCACT_EDITORS;TAX_FNCACT_NEWSPAPER_EDITORS;TAX_FNCACT_SECRETARY;TAX_FNCACT_SENATOR;ARMEDCONFLICT;NEGOTIATIONS;TAX_FNCACT_DIRECTOR;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_LORENZO;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_EDITOR;APPOINTMENT;TAX_FNCACT_MANAGER;TAX_FNCACT_GENERAL_MANAGER;TAX_FNCACT_MANAGING_EDITOR;TAX_FNCACT_WRITER;TAX_FNCACT_STAFF_MEMBERS;SECURITY_SERVICES;EXTREMISM;TAX_WORLDLANGUAGES_CAGAYAN;TAX_WORLDLANGUAGES_SANTOS;TAX_FNCACT_MINISTER;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HEADQUARTERS;,central news agency of taiwan;philippine information agency bldg;information bureau;national media center on visayas ave;bureau of national;associated press;national press club of the philippines bldg;reuters;office of media affairs;united press international;philippines news agency;department order;bureau of communications services;philippine news service;department of public information,"-0.159616919393456,0.877893056664006,1.03750997605746,1.91540303272147,13.487629688747,0,1158"
228,228,20150302000000.0,TAX_TERROR_GROUP;TAX_TERROR_GROUP_HAMAS;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_HAMAS;TERROR;ARMEDCONFLICT;GENERAL_GOVERNMENT;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;TAX_RELIGION;TAX_RELIGION_MUSLIM;TAX_ETHNICITY;TAX_ETHNICITY_MUSLIM;TAX_TERROR_GROUP_MUSLIM_BROTHERHOOD;TAX_POLITICAL_PARTY_MUSLIM_BROTHERHOOD;TAX_FNCACT_LEADERS;TRIAL;SOC_GENERALCRIME;LEGISLATION;TAX_TERROR_GROUP_AL_QASSAM_BRIGADES;TAX_FNCACT_INSURGENTS;INSURGENCY;TAX_ETHNICITY_PALESTINIAN;TAX_FNCACT_SPOKESMAN;NEGOTIATIONS;AFFECT;TAX_FNCACT_MEDIATOR;,european union;cnn;urgent matters court;united states,"-3.54838709677419,2.90322580645161,6.45161290322581,9.35483870967742,18.0645161290323,0,294"
229,229,20150302000000.0,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_COLLEGE;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;ELECTION;MEDIA_MSM;TAX_FNCACT_STUDENTS;TAX_FNCACT_LEADERS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DAKOTA;,benedict college,"1.12994350282486,1.69491525423729,0.564971751412429,2.25988700564972,12.9943502824859,0,162"
230,230,20150302000000.0,FUELPRICES;TAX_FNCACT;TAX_FNCACT_MINISTER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MALEK;TAX_WORLDFISH;TAX_WORLDFISH_SOLE;NATURAL_DISASTER;NATURAL_DISASTER_NATURAL_DISASTERS;GENERAL_GOVERNMENT;TAX_FNCACT_SPEAKER;,price reduction campaign;tesco,"2.31362467866324,2.82776349614396,0.51413881748072,3.34190231362468,26.2210796915167,1.2853470437018,353"
231,231,20150302000000.0,TAX_FNCACT;TAX_FNCACT_SENATOR;TAX_SPECIALDEATH;TAX_RELIGION;TAX_RELIGION_ISLAMIC;TAX_TERROR_GROUP;TAX_TERROR_GROUP_ISLAMIC_STATE;TAX_FNCACT_SUPPORTERS;TAX_RELIGION_SHARIA;LEGISLATION;TAX_FNCACT_MAN;TAX_FNCACT_MESSENGER;TAX_TERROR_GROUP_MUJAHIDEEN;TAX_RELIGION_MOSQUE;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;TAX_FNCACT_SPOKESPERSON;TERROR;DEATH_PENALTY;TRIAL;,tasmania police;australian federal police,"-4.04040404040404,1.34680134680135,5.38720538720539,6.73400673400673,26.5993265993266,1.01010101010101,278"
232,232,20150302000000.0,KILL;WOUND;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;TAX_FNCACT_MARQUISE;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_FNCACT_AUTHORITIES;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;SOC_GENERALCRIME;ARREST;SOC_POINTSOFINTEREST_JAIL;TRIAL;TAX_FNCACT_ATTORNEY;,,"-7.07964601769912,0.884955752212389,7.9646017699115,8.84955752212389,21.2389380530973,0,104"
233,233,20150302000000.0,TAX_FNCACT;TAX_FNCACT_DIRECTOR;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;NATURAL_DISASTER;NATURAL_DISASTER_FRIGID;,regional climate center at cornell university;national weather service,"0,0.854700854700855,0.854700854700855,1.70940170940171,17.7350427350427,1.06837606837607,448"
234,234,20150302000000.0,,hutt city council,"-2.5,0,2.5,2.5,27.5,0,119"
235,235,20150302000000.0,EDUCATION;TAX_FNCACT;TAX_FNCACT_STUDENTS;GENERAL_HEALTH;,centers for disease;francis health;american vaping association;marion county public health department;free program;drug administration;university of michigan,"-0.262237762237762,2.62237762237762,2.88461538461538,5.50699300699301,24.8251748251748,1.48601398601399,1027"
236,236,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;TAX_FNCACT_INVESTOR;GENERAL_HEALTH;TAX_ETHNICITY;TAX_ETHNICITY_INDONESIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_INDONESIAN;MEDICAL;,sm investments corp;sm retail inc;sm group,"0.424628450106157,1.48619957537155,1.06157112526539,2.54777070063694,23.3545647558386,1.69851380042463,442"
237,237,20150302000000.0,TAX_FNCACT;TAX_FNCACT_CHILDREN;MANMADE_DISASTER_IMPLIED;PUBLIC_TRANSPORT;SECURITY_SERVICES;TAX_FNCACT_POLICE;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVISTS;MOVEMENT_SOCIAL;MOVEMENT_OTHER;TAX_FNCACT_MANAGERS;TAX_FNCACT_GENERAL_MANAGERS;TAX_FNCACT_OFFICIAL;TAX_FNCACT_CHILD;GENERAL_GOVERNMENT;TAX_FNCACT_MANAGER;TAX_FNCACT_REPRESENTATIVES;TAX_FNCACT_WOMEN;TAX_FNCACT_CHAIRPERSON;GENERAL_HEALTH;AFFECT;TAX_FNCACT_ACTIVIST;,railway protection;national commission for protection of child;railway board;government railway police;government railway,"-1.04895104895105,3.14685314685315,4.1958041958042,7.34265734265734,27.0979020979021,0.174825174825175,518"
238,238,20150302000000.0,NATURAL_DISASTER;NATURAL_DISASTER_ICY;INFRASTRUCTURE_BAD_ROADS;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;TAX_FNCACT_DISPATCHERS;TAX_FNCACT_TROOPERS;TRAFFIC;DISABILITY;MANMADE_DISASTER_IMPLIED;,virginia state police,"-8.07453416149068,1.24223602484472,9.3167701863354,10.5590062111801,19.8757763975155,0,143"
239,239,20150302000000.0,ENV_OIL;TAX_FNCACT;TAX_FNCACT_MINISTER;ECON_OILPRICE;MEDIA_MSM;ARMEDCONFLICT;TAX_RELIGION;TAX_RELIGION_ISLAMIC;TAX_TERROR_GROUP;TAX_TERROR_GROUP_ISLAMIC_STATE;JIHAD;TERROR;DELAY;TAX_WORLDFISH;TAX_WORLDFISH_TOP;GENERAL_GOVERNMENT;,iraqi oil,"-2.89256198347107,0.826446280991736,3.71900826446281,4.54545454545455,19.8347107438017,4.95867768595041,212"
240,240,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;TAX_FNCACT;TAX_FNCACT_OFFICIAL;TAX_FNCACT_CHIEF;TAX_FNCACT_ANALYST;TAX_FNCACT_BUYER;ECON_CENTRALBANK;ECON_INTEREST_RATES;TAX_FNCACT_AUTHORITIES;ECON_INFLATION;ECON_HOUSING_PRICES;,melbourne institute;australian industry group;australian bureau of statistics,"-0.245700245700246,1.71990171990172,1.96560196560197,3.68550368550369,25.3071253071253,0.245700245700246,369"
241,241,20150302000000.0,GENERAL_HEALTH;MEDICAL;TAX_FNCACT;TAX_FNCACT_CHIEFS;TAX_FNCACT_CHILDREN;LEGISLATION;GENERAL_GOVERNMENT;MEDIA_MSM;,sussex county council,"-3.1496062992126,3.93700787401575,7.08661417322835,11.0236220472441,23.6220472440945,0,118"
242,242,20150302000000.0,TAX_FNCACT;TAX_FNCACT_CANDIDATE;ARMEDCONFLICT;EXTREMISM;TERROR;TAX_FNCACT_CHIEF;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_RELIGION;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY;TAX_ETHNICITY_CHRISTIAN;LEADER;TAX_FNCACT_PRESIDENT;TAX_ETHNICITY_AMERICAN;DISCRIMINATION;TAX_ETHNICITY_AMERICANS;RELIGION;TAX_RELIGION_CHRISTIANS;TAX_ETHNICITY_CHRISTIANS;TAX_RELIGION_ATHEIST;LGBT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;ARREST;SOC_GENERALCRIME;RAPE;POVERTY;LEGISLATION;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;TRIAL;TAX_FNCACT_SUPPORTER;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;SOC_POINTSOFINTEREST_HEADQUARTERS;TAX_WEAPONS;TAX_WEAPONS_GUN;TAX_FNCACT_EMPLOYEES;KILL;TAX_FNCACT_MANAGER;TAX_FNCACT_SPECIALIST;WOUND;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_POLICE_CHIEF;TAX_FNCACT_GUARD;TAX_FNCACT_HERO;PROPAGANDA;TRANSPARENCY;TAX_FNCACT_AUTHOR;TAX_WORLDFISH;TAX_WORLDFISH_SOLE;TAX_WORLDLANGUAGES_DAKOTA;,southern poverty law center;d c police;lesbian straight education network;freedom from religion foundation;american clarion or dakota voice;american family association;united states;human rights campaign;family research council,"-5.5019305019305,2.02702702702703,7.52895752895753,9.55598455598456,18.7258687258687,0.675675675675676,896"
243,243,20150302000000.0,TAX_FNCACT;TAX_FNCACT_CHAMPION;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DAKOTA;,international boxing hall;bismarck event center,"-3.2520325203252,1.6260162601626,4.8780487804878,6.50406504065041,18.6991869918699,0,107"
244,244,20150302000000.0,,market research;banking company profile;banking market research;national life,"0.583090379008746,2.04081632653061,1.45772594752187,3.49854227405248,23.0320699708455,1.16618075801749,311"
245,245,20150302000000.0,TAX_FNCACT;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;GENERAL_GOVERNMENT;TAX_FNCACT_ADVISER;WMD;TAX_FNCACT_PRESIDENT;TAX_FNCACT_SPEAKER;TAX_ETHNICITY;TAX_ETHNICITY_WHITE;,,"-0.757575757575757,2.27272727272727,3.03030303030303,5.3030303030303,28.7878787878788,1.51515151515152,128"
246,246,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_COLLEGE;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;ELECTION;MEDIA_MSM;TAX_FNCACT_STUDENTS;TAX_FNCACT_LEADERS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DAKOTA;,benedict college;associated press,"0.938967136150235,1.40845070422535,0.469483568075117,1.87793427230047,15.4929577464789,0,200"
247,247,20150302000000.0,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;SELF_IDENTIFIED_HUMAN_RIGHTS;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;MARITIME_INCIDENT;MARITIME;MANMADE_DISASTER_IMPLIED;MOVEMENT_GENERAL;TAX_ETHNICITY_WHITE;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_OFFICER;TAX_FNCACT_POLICE_OFFICER;APPOINTMENT;TRIAL;TAX_FNCACT_ATTORNEY;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRATS;GENERAL_GOVERNMENT;ELECTION;TAX_FNCACT_OFFICERS;PROTEST;TAX_FNCACT_CANDIDATE;TAX_WORLDBIRDS;TAX_WORLDBIRDS_MALIA;TAX_FNCACT_PASTOR;TAX_RELIGION;TAX_RELIGION_BAPTIST;TAX_RELIGION_CHURCH;TAX_FNCACT_KING;TAX_FNCACT_CRIMINAL;TAX_FNCACT_LEADERS;TAX_FNCACT_LAWMAKERS;DISCRIMINATION;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_FNCACT_CANDIDATES;TRAFFIC;TAX_FNCACT_POLITICIANS;TRANSPARENCY;MEDIA_SOCIAL;,ebenezer baptist church;supreme court;associated press;united states,"-1.45502645502645,2.11640211640212,3.57142857142857,5.68783068783069,24.6031746031746,0.264550264550265,688"
248,248,20150302000000.0,TAX_FNCACT;TAX_FNCACT_VETERAN;TAX_FNCACT_ROLE_MODEL;TAX_DISEASE;TAX_DISEASE_CANCER;TAX_DISEASE_LUNG_CANCER;MEDIA_MSM;,,"4.32098765432099,6.79012345679012,2.46913580246914,9.25925925925926,11.7283950617284,0,146"
249,249,20150302000000.0,AFFECT;KIDNAP;TAX_FNCACT;TAX_FNCACT_FATHER;SECURITY_SERVICES;TAX_FNCACT_POLICE;ARREST;SOC_GENERALCRIME;TAX_FNCACT_BABY;TAX_FNCACT_OFFICIALS;TAX_FNCACT_SHERIFF;TAX_FNCACT_AUTHORITIES;,me group;madison county sheriff office;madison county sheriff department,"-1.08892921960073,1.4519056261343,2.54083484573503,3.99274047186933,27.2232304900181,1.81488203266788,519"
250,250,20150302000000.0,MANMADE_DISASTER_IMPLIED;TRAFFIC;AFFECT;TAX_FNCACT;TAX_FNCACT_DRIVER;MANMADE_DISASTER;MANMADE_DISASTER_WITHOUT_POWER;POWER_OUTAGE;,traffic safety administration on;hyundai,"-3.64741641337386,2.43161094224924,6.0790273556231,8.51063829787234,25.8358662613982,0,312"
251,251,20150302000000.0,MANMADE_DISASTER_IMPLIED;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT;TAX_FNCACT_OFFICERS;BORDER;TAX_FNCACT_SHERIFF;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;SECURITY_SERVICES;TAX_FNCACT_POLICE;WOUND;ARMEDCONFLICT;DISABILITY;TAX_FNCACT_DEPUTY;TAX_WEAPONS;TAX_WEAPONS_FIREARM;ARREST;SOC_GENERALCRIME;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_JAIL;TRIAL;,paz county sheriff office;arizona department of public safety;quartzsite police department,"-12.639405204461,0.743494423791822,13.3828996282528,14.1263940520446,25.2788104089219,0,248"
252,252,20150302000000.0,LEADER;,olympics,"3.17073170731707,4.14634146341463,0.975609756097561,5.1219512195122,17.0731707317073,0.975609756097561,364"
